match_no,match,innings,batsman,runs,balls,4s,6s,strike_rate,out/ not_out
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Lahiru Milantha ,7,12,1,0,58.33,out
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Aasif Sheikh,54,41,6,1,131.70,out
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Anil Sah (c),0,2,0,0,0.00,out
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Jan Nicol Loftie-Eaton,2,8,0,0,25.00,out
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Sanjay Krishnamurthi,2,6,0,0,33.33,out
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Mayan Yadav,34,29,2,1,117.24,not out
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Lahiru Samarakoon,22,21,0,2,104.76,out
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Rupesh Singh,4,1,1,0,400.00,not out
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Aakash Tripathi,39,45,5,0,86.66,out
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Ben Charlesworth,46,23,5,3,200.00,out
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Bhim Sharki,3,7,0,0,42.85,out
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Milind Kumar,19,22,0,1,86.36,out
1,Janakpur Bolts vs Kathmandu Gorkhas,2,John Simpson ,13,6,1,1,216.66,out
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Gerhard Erasmus,1,1,0,0,100.00,not out
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Mohammad Aadil Alam,8,4,0,1,200.00,not out
2,Chitwan Rhinos vs Karnali Yaks,1,Priyank Panchal,90,48,7,6,187.50,out
2,Chitwan Rhinos vs Karnali Yaks,1,Max O'Dowd,20,30,1,0,66.66,out
2,Chitwan Rhinos vs Karnali Yaks,1,Mark Watt,16,21,1,0,76.19,out
2,Chitwan Rhinos vs Karnali Yaks,1,Pawan Sarraf,27,16,1,3,168.75,not out
2,Chitwan Rhinos vs Karnali Yaks,1,Najibullah Zadran,4,5,0,0,80.00,not out
2,Chitwan Rhinos vs Karnali Yaks,2,Deepak Bohara,42,36,6,1,116.66,out
2,Chitwan Rhinos vs Karnali Yaks,2,Dawid Malan,6,6,1,0,100.00,out
2,Chitwan Rhinos vs Karnali Yaks,2,Dev Khanal,2,2,0,0,100.00,out
2,Chitwan Rhinos vs Karnali Yaks,2,Ravi Bopara,52,36,3,3,144.44,out
2,Chitwan Rhinos vs Karnali Yaks,2,Kushal Malla (c),20,15,0,2,133.33,out
2,Chitwan Rhinos vs Karnali Yaks,2,Saif Zaib,38,16,2,4,237.50,out
2,Chitwan Rhinos vs Karnali Yaks,2,Arjun Saud ,8,4,0,1,200.00,not out
2,Chitwan Rhinos vs Karnali Yaks,2,Sohail Tanvir,0,0,0,0,-,not out
3,Biratnagar Kings vs Pokhara Avengers,1,Lokesh Bam ,72,48,1,7,150.00,out
3,Biratnagar Kings vs Pokhara Avengers,1,George Munsey,10,6,1,1,166.66,out
3,Biratnagar Kings vs Pokhara Avengers,1,Martin Guptill,61,35,3,5,174.28,out
3,Biratnagar Kings vs Pokhara Avengers,1,Shubham Ranjane,38,16,3,2,237.50,out
3,Biratnagar Kings vs Pokhara Avengers,1,Basir Ahamad,23,13,1,1,176.92,out
3,Biratnagar Kings vs Pokhara Avengers,1,Narayan Joshi,11,3,1,1,366.66,not out
3,Biratnagar Kings vs Pokhara Avengers,1,Pratis GC,0,1,0,0,0.00,out
3,Biratnagar Kings vs Pokhara Avengers,2,Dinesh Kharel,7,6,0,1,116.66,out
3,Biratnagar Kings vs Pokhara Avengers,2,Adam Rossington ,39,21,5,2,185.71,out
3,Biratnagar Kings vs Pokhara Avengers,2,Kushal Bhurtel (c),59,31,5,4,190.32,out
3,Biratnagar Kings vs Pokhara Avengers,2,James Neesham,0,1,0,0,0.00,out
3,Biratnagar Kings vs Pokhara Avengers,2,Trit Raj Das,0,2,0,0,0.00,out
3,Biratnagar Kings vs Pokhara Avengers,2,Kiran Thagunna,8,13,1,0,61.53,out
3,Biratnagar Kings vs Pokhara Avengers,2,Abhisekh Tiwari,11,9,0,1,122.22,out
3,Biratnagar Kings vs Pokhara Avengers,2,Dan Douthwaite,29,20,4,1,145.00,out
3,Biratnagar Kings vs Pokhara Avengers,2,Matt Taylor,4,6,0,0,66.66,out
3,Biratnagar Kings vs Pokhara Avengers,2,Aakash Chand,4,3,1,0,133.33,out
3,Biratnagar Kings vs Pokhara Avengers,2,Sagar Dhakal,1,1,0,0,100.00,not out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Josh Brown,0,2,0,0,0.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Binod Bhandari ,0,2,0,0,0.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Chris Lynn,2,10,0,0,20.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Aarif Sheikh,25,24,3,0,104.16,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Ishan Pandey,11,9,1,1,122.22,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Dipendra Singh Airee (c),39,30,3,1,130.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Naren Saud,6,12,0,0,50.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Harmeet Singh,53,20,2,6,265.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Scott Kuggeleijn,1,3,0,0,33.33,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Hemant Dhami,3,5,0,0,60.00,not out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,1,Abinash Bohara,1,3,0,0,33.33,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,2,Aakash Tripathi,34,30,1,2,113.33,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,2,Ben Charlesworth,8,8,2,0,100.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,2,Bhim Sharki,12,10,0,1,120.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,2,Santosh Yadav,1,3,0,0,33.33,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,2,John Simpson ,24,18,2,1,133.33,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,2,Milind Kumar,11,14,1,0,78.57,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,2,Mohammad Aadil Alam,0,1,0,0,0.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,2,Rashid Khan,6,8,0,0,75.00,out
4,Kathmandu Gorkhas vs Sudur Paschim Royals,2,Sunny Patel,10,7,1,0,142.85,out
