match_no,match,innings,bowler,overs,maidens,runs,wickets,economy
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Karan KC,4.0,0,30,1,7.5
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Rashid Khan,2.0,0,20,0,10.0
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Milind Kumar,4.0,0,15,3,3.75
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Gerhard Erasmus,3.0,0,23,0,7.66
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Shahab Alam,4.0,0,20,1,5.0
1,Janakpur Bolts vs Kathmandu Gorkhas,1,Santosh Yadav,3.0,0,17,1,5.66
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Kishor Mahato,3.0,0,28,1,9.33
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Anil Sah,4.0,0,26,1,6.5
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Lalit Rajbanshi,4.0,0,26,1,6.5
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Rupesh Singh,1.0,0,15,0,15.0
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Jan Nicol Loftie-Eaton,3.0,0,16,1,5.33
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Bikash Aagri,1.0,0,5,0,5.0
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Lahiru Samarakoon,1.0,0,6,0,6.0
1,Janakpur Bolts vs Kathmandu Gorkhas,2,Sanjay Krishnamurthi,1.0,0,8,1,8.0
2,Chitwan Rhinos vs Karnali Yaks,1,Sohail Tanvir,4.0,0,26,1,6.5
2,Chitwan Rhinos vs Karnali Yaks,1,Rijan Dhakal,3.0,0,36,0,12.0
2,Chitwan Rhinos vs Karnali Yaks,1,Kamal Airee,4.0,0,35,0,8.75
2,Chitwan Rhinos vs Karnali Yaks,1,Kushal Malla,3.0,0,29,0,9.66
2,Chitwan Rhinos vs Karnali Yaks,1,Saif Zaib,3.0,0,15,1,5.0
2,Chitwan Rhinos vs Karnali Yaks,1,Ravi Bopara,3.0,0,18,1,6.0
2,Chitwan Rhinos vs Karnali Yaks,2,Sompal Kami,4.0,0,33,2,8.25
2,Chitwan Rhinos vs Karnali Yaks,2,Unish Singh,3.0,0,24,1,8.0
2,Chitwan Rhinos vs Karnali Yaks,2,Nandan Yadav,3.1,0,33,0,10.42
2,Chitwan Rhinos vs Karnali Yaks,2,Mark Watt,4.0,0,33,1,8.25
2,Chitwan Rhinos vs Karnali Yaks,2,Gulsan Jha,2.0,0,21,0,10.5
2,Chitwan Rhinos vs Karnali Yaks,2,Yuvraj Khatri,3.0,0,26,1,8.66
3,Biratnagar Kings vs Pokhara Avengers,1,Aakash Chand,4.0,0,48,1,12.0
3,Biratnagar Kings vs Pokhara Avengers,1,Matt Taylor,4.0,0,48,2,12.0
3,Biratnagar Kings vs Pokhara Avengers,1,Sagar Dhakal,4.0,0,40,1,10.0
3,Biratnagar Kings vs Pokhara Avengers,1,Dan Douthwaite,3.0,0,30,0,10.0
3,Biratnagar Kings vs Pokhara Avengers,1,Kushal Bhurtel,3.0,0,32,1,10.66
3,Biratnagar Kings vs Pokhara Avengers,1,James Neesham,2.0,0,22,0,11.0
3,Biratnagar Kings vs Pokhara Avengers,2,Marchant de Lange,3.5,0,48,2,12.52
3,Biratnagar Kings vs Pokhara Avengers,2,Pratis GC,3.0,0,29,2,9.66
3,Biratnagar Kings vs Pokhara Avengers,2,Shubham Ranjane,3.0,0,35,2,11.66
