,player,batting_style,bowling_style,playing_role,team,image_url
0,Aaditya Mahata,,,,,
1,Aakash Chand,Right-handed,Right-arm medium,Bowler,Nepal,
2,Aakash Tripathi,,,,,
3,Aarif Sheikh,Right-handed,Right-arm  medium,Batsman,Nepal,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/20px-Flag_of_Nepal.svg.png
4,Aasif Sheikh,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Aasif_Sheikh.jpg/250px-Aasif_Sheikh.jpg
5,Abhisekh Tiwari,,,,,
6,Abhishesh Gautam,,,,,
7,Abinash Bohara,Right-handed,Right-arm medium,Bowler,Nepal,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/20px-Flag_of_Nepal.svg.png
8,Adam Rossington,Right handed,,Wicket-keeper batsman,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/2_16_Adam_Rossington.jpg/250px-2_16_Adam_Rossington.jpg
9,Amar Routela,,,,,
10,Anil Sah,Right-handed,Right-arm  off break,Wicket-keeper-batter,Nepal,
11,Arjun Gharti,,,,,
12,Arjun Saud,Right-handed,,Wicket-keeper batsman,Nepal,
13,Basir Ahamad,Left-handed,Slow left-arm orthodox,,Nepal,
14,Ben Charlesworth,Left-handed,Right-arm  medium-fast,Batsman,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/2_67_Ben_Charlesworth.jpg/250px-2_67_Ben_Charlesworth.jpg
15,Bhim Sharki,Right-handed,Right-arm off-break,Batsman,Nepal,
16,Bikash Aagri,,,,,
17,Binod Bhandari,Right-handed,,wicket-keeper batsman,Nepal,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/%E0%A4%B5%E0%A4%BF%E0%A4%A8%E0%A5%8B%E0%A4%A6_%E0%A4%AD%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%BE%E0%A4%B0%E0%A5%80_1.jpg/250px-%E0%A4%B5%E0%A4%BF%E0%A4%A8%E0%A5%8B%E0%A4%A6_%E0%A4%AD%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%BE%E0%A4%B0%E0%A5%80_1.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
18,Bipin Khatri,,,,,
19,Bipin Sharma,,,,,
20,Chris Lynn,Right-handed,Slow left-arm orthodox,Batter,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Brisbane_Heat_vs_Melbourne_Stars_T20_7_%28cropped%29.jpg/250px-Brisbane_Heat_vs_Melbourne_Stars_T20_7_%28cropped%29.jpg
21,D'Arcy Short,Left-handed,Left-arm unorthodox spin,Opening batter,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/2018.02.03.20.04.13-AUSvNZL_T20_NZL_innings%2C_SCG_%2825557959457%29.jpg/250px-2018.02.03.20.04.13-AUSvNZL_T20_NZL_innings%2C_SCG_%2825557959457%29.jpg
22,Dan Douthwaite,Right-handed,Right-arm  medium-fast,,,
23,Dawid Malan,Left-handed,Right-arm  leg break,Top-order batter,England,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/3_03_Malan_continues_%28cropped%29.jpg/250px-3_03_Malan_continues_%28cropped%29.jpg
24,Deepak Bohara,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Deepak_Bohara.jpg/250px-Deepak_Bohara.jpg
25,Deepak Dumre,,,,,
26,Dev Khanal,Right-handed,Right-arm offbreak,Batsman,Nepal,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Dev-khanal-dk_%28cropped%29.jpg/250px-Dev-khanal-dk_%28cropped%29.jpg
27,Dilip Nath,Left-handed,,Wicket-keeper,Nepal,
28,Dinesh Kharel,,,,,
29,Dipendra Singh Airee,Right-handed,Right-arm off break,All-rounder,Nepal,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Dsairee.jpg/250px-Dsairee.jpg
30,Dipesh Kandel,,,,,
31,George Munsey,Left-handed,Right-arm  medium-fast,Batsman,Scotland,
32,Gerhard Erasmus,Right-handed,Right-arm  off break,All-rounder,Namibia,
33,Gulbadin Naib,Right-handed,Right-arm  fast-medium,Batting  all-rounder,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Gulbadin_Naib.jpg/250px-Gulbadin_Naib.jpg
34,Gulsan Jha,Left-handed,Right-arm  medium,All-rounder,Nepal,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Gulshan-Jha.png/250px-Gulshan-Jha.png
35,Harmeet Singh,,,,,
